era,task_id,classification,status,created_at,completed_at,latency_min,dispatch_or_retry
wg-era,t_8093e4c3a6e8,work,done,2026-05-14T23:58:45.947980006+00:00,2026-05-15T00:07:46.815674879+00:00,9.0,1
wg-era,t_c4f7ced48de6,work,done,2026-05-14T23:58:45.188705684+00:00,2026-05-15T00:08:37.693317434+00:00,9.9,1
wg-era,t_550fefaf8f2e,work,done,2026-05-14T23:58:44.010168937+00:00,2026-05-15T00:10:05.409156030+00:00,11.4,1
wg-era,t_c201c13cef27,work,done,2026-05-14T23:49:42.147540128+00:00,2026-05-15T00:10:09.323321191+00:00,20.5,1
wg-era,t_8e854f948649,work,done,2026-05-14T23:58:45.565598910+00:00,2026-05-15T00:11:49.153517620+00:00,13.1,1
wg-era,t_5104a9304d10,governance,done,2026-05-14T23:50:03.480045183+00:00,2026-05-15T00:12:04.910728353+00:00,22.0,1
wg-era,t_5f852a2abb60,work,done,2026-05-14T23:58:46.331209784+00:00,2026-05-15T15:56:29.965210288+00:00,957.7,2
wg-era,t_0a25e56633bf,work,done,2026-05-14T23:58:44.806861833+00:00,2026-05-15T15:57:46.503194989+00:00,959.0,2
wg-era,t_c05cbffb401d,governance,done,2026-05-15T15:53:38.631566578+00:00,2026-05-15T16:01:12.819577365+00:00,7.6,1
wg-era,t_f69779bbe42b,governance,done,2026-05-15T15:53:16.272096619+00:00,2026-05-15T16:02:04.161557553+00:00,8.8,1
wg-era,t_49d7bc1a74e0,governance,done,2026-05-15T15:53:27.366895748+00:00,2026-05-15T16:06:59.903069493+00:00,13.5,1
wg-era,t_e5ec34d37429,work,done,2026-05-15T15:54:03.200915650+00:00,2026-05-15T16:21:13.543065958+00:00,27.2,1
wg-era,t_99ba236a95bc,work,done,2026-05-15T16:16:49.850103924+00:00,2026-05-15T16:28:22.182977442+00:00,11.5,1
wg-era,t_381889765289,work,done,2026-05-15T16:17:24.628114502+00:00,2026-05-15T16:28:43.260588547+00:00,11.3,1
wg-era,t_acfe181c5c0c,governance,done,2026-05-15T16:17:58.998530173+00:00,2026-05-15T16:29:38.680433367+00:00,11.7,1
wg-era,t_48b070edee2f,governance,done,2026-05-15T16:18:31.859099731+00:00,2026-05-15T16:30:05.617862666+00:00,11.6,1
wg-era,t_453ff1455ca7,work,done,2026-05-14T23:56:20.269903845+00:00,2026-05-15T16:46:53.295577503+00:00,1010.6,1
wg-era,t_430fec3ba0b0,work,done,2026-05-14T23:57:09.698663633+00:00,2026-05-15T16:57:41.916141025+00:00,1020.5,1
wg-era,t_3080458f6a6d,governance,done,2026-05-15T19:07:33.496154632+00:00,2026-05-15T19:11:57.899307053+00:00,4.4,1
wg-era,t_3be1b1020af2,governance,done,2026-05-15T19:11:48.296082221+00:00,2026-05-15T19:14:47.753883745+00:00,3.0,1
wg-era,t_fa721226933a,governance,done,2026-05-15T19:40:30.971740270+00:00,2026-05-15T19:43:36.060857887+00:00,3.1,1
wg-era,t_fbf0a3656b12,governance,done,2026-05-15T19:48:45.781010608+00:00,2026-05-15T19:55:27.755410653+00:00,6.7,1
wg-era,t_267064db4ed8,work,done,2026-05-15T19:55:30.549323810+00:00,2026-05-15T20:04:01.691859678+00:00,8.5,1
wg-era,t_af741c39de0f,governance,done,2026-05-15T20:02:37.185491610+00:00,2026-05-15T20:08:22.645007455+00:00,5.8,1
wg-era,t_d8b7f986d7a5,governance,done,2026-05-18T14:53:34.896444924+00:00,2026-05-18T14:58:36.177229653+00:00,5.0,1
wg-era,t_94f2bd80ebdb,governance,done,2026-05-18T14:46:09.995001137+00:00,2026-05-18T15:02:05.117203743+00:00,15.9,1
wg-era,t_9e1f36a1ae86,governance,done,2026-05-18T14:52:54.856483419+00:00,2026-05-18T15:05:29.446394796+00:00,12.6,1
wg-era,t_6ee0d2be9708,work,done,2026-05-18T16:54:19.342534539+00:00,2026-05-18T17:15:16.559816484+00:00,21.0,1
wg-era,t_51b00f4bf9a6,work,done,2026-05-18T16:53:57.170978682+00:00,2026-05-18T17:24:23.773094807+00:00,30.4,1
wg-era,t_048eeb4e8ff3,work,done,2026-05-18T16:53:37.094578402+00:00,2026-05-18T17:27:45.018374481+00:00,34.1,1
wg-era,t_dd2bd08d518a,work,done,2026-05-18T16:55:37.637901010+00:00,2026-05-18T17:32:25.518505933+00:00,36.8,1
wg-era,t_baa9467464e8,work,done,2026-05-18T16:54:42.892675374+00:00,2026-05-18T17:32:31.805051561+00:00,37.8,1
wg-era,t_0a2fb9f06860,work,done,2026-05-18T16:55:13.808314200+00:00,2026-05-18T17:46:36.523526615+00:00,51.4,1
wg-era,t_7f19dc245a1b,governance,done,2026-05-18T16:56:06.620539799+00:00,2026-05-18T18:00:01.819451496+00:00,63.9,1
wg-era,t_0aa498608953,work,done,2026-05-18T16:56:24.709135466+00:00,2026-05-18T18:07:14.857765947+00:00,70.8,1
wg-era,t_b562790d6534,work,done,2026-05-18T16:56:45.113468628+00:00,2026-05-18T18:14:24.545503157+00:00,77.7,1
wg-era,t_09501a034c88,work,done,2026-05-18T18:30:27.087603852+00:00,2026-05-18T18:56:14.877941467+00:00,25.8,1
wg-era,t_13337e254d43,governance,done,2026-05-18T18:34:05.204164111+00:00,2026-05-18T19:06:23.752286063+00:00,32.3,
wg-era,t_e689b5bc8c0f,work,done,2026-05-18T18:36:52.085332167+00:00,2026-05-18T19:07:03.612584165+00:00,30.2,1
wg-era,t_7c886e20c371,work,done,2026-05-18T19:05:00.183239964+00:00,2026-05-18T19:31:42.938565224+00:00,26.7,1
